"","V1","V2","V3","V4"
"1",-220.328735899634,321.218240352828,416.548085389224,-0.0824960509563328
"2",256.213071095134,-785.742518679805,-576.003739134023,-0.349890826221352
"3",28.4384400514509,179.39031680182,147.825192329368,-0.0123322270484805
"4",1.4142135623731,-540.982714903179,-245.216795177221,-0.390159101127834
"5",21.4765868724337,-340.812936598319,-462.369001264672,-0.0818529351715229
"6",156.01691476336,-898.284968371187,-1200.3690672942,-0.472779381183294
"7",1.5377469140048,890.927427834478,909.148289062794,0.451554226606476
"8",-3.65726452946432,-188.351286109655,374.663192714771,0.264645041354225
"9",7.17000000000002,262.181708565941,377.292205115687,-0.553574478443031
"10",0,261.18139499226,678.087931210903,-0.119826132479342
"11",-3.53553390593274,-228.377713271546,-1137.44743096632,1.10217164043271
"12",1.30317148559425,-881.026936580103,-933.329192493731,-0.275905218617151
"13",-3,1284.69897372743,1154.24186143224,0.217364719326685
"14",4.24264068711929,1107.96548691208,689.096287451804,0.269358990852948
"15",0,75.5422390756154,149.742456074003,-0.0453272108919916
"16",0.408248290463863,-39.1472439888963,53.6190357911675,-0.179359442281563
"17",-0.707106781186548,-93.9240098756339,-261.99169984749,0.135342838908162
"18",118.649020711308,-689.385489420313,-339.212276723755,-0.679520511219269
"19",1.88797510576809,189.866477078245,89.0492718244793,0.143262762993208
"20",-143.973310856242,525.093264689724,379.250158996396,-0.150294437684985
"21",254.798857532761,-702.149455280053,30.8460619308651,-0.474948944424223
"22",160.529191311545,-1093.19013630917,-534.372212453739,-1.23241336637272
"23",-4.64124571480924e-14,250.533249639884,412.687997586758,0.0934584130156576
"24",0,-22.3316671057219,-263.776422263872,0.0847995863786481
"25",-223.075742570171,132.505878742777,-970.090590835843,2.05160639791535
"26",-127.904315754511,544.637191887237,-584.410493903375,2.01432841747579
"27",-416.394498889368,178.243794708707,-586.960022453295,2.49712034969137
"28",0,-169.81749895594,-665.145593278795,0.521105230109098
"29",0,-748.923396828151,-101.967237930983,-0.642799791884308
"30",0,-727.986515766649,-1249.59210129772,0.711788396225849
"31",-131.919731364486,-255.308515650588,630.567423471996,-0.152349188821636
"32",106.144555520604,1051.22991384472,941.11458336432,-0.0666882515878776
"33",-226.274169979695,-414.869127464496,-1630.05827413102,0.677873237518467
"34",71.6863254158754,-297.487970213435,406.204793137492,-0.648596191791487
"35",-3.30828784385954,1695.41674939182,675.537422453854,0.654394585213196
"36",-4.98237530454017,64.6179765034878,254.105472346404,-0.058227214340891
"37",-0.36317481085205,-30.5015181853982,182.261768636976,-0.0940519706897062
"38",0.547052709221636,417.650840454949,988.351978030938,-0.0477058339492127
"39",0,10.7795645052322,-132.344211633482,0.109262569842499
"40",0,628.793240146568,1146.18299548898,-0.0200036306443912
"41",60.124104647109,-918.910613006848,-817.727848059968,-0.153202441833374
"42",-111.855949104194,1153.54495741458,1287.71128989888,-0.198398840376768
"43",26.3962961416938,16.3894782183438,304.981144472794,-0.393006184688492
