IPCD,DynRes,SSRes
87,194.035923237881,332.995365482459
253,162.434627633904,468.327159424912
1273,248.806350091973,697.247016415304
1269,7647.10347544191,2500
258,325.944703016107,775.679609787338
5000,571.436535947146,1389.20262184446
450,838.750058071565,2500
94,613.524360759695,1106.62738006212
1259,345.01261383564,980.692692128493
92,70.7347273102761,143.965709639127
93,365.196005961226,622.306837929884
1268,485.267546672768,732.809902910474
1264,3677.89861048569,2268.4325159689
85,654.047421857011,913.417087668156
436,312.364603819928,485.299864319177
1262,697.247016415304,1502.15857815918
83,1083.28385138168,1953.94290266439
252,307.930623878205,786.78330655971
1432,1091.0097954416,1122.46852724863
1256,781.211730723129,1379.36503671086
1270,349.951399641451,809.469816923529
1260,826.912966162028,1556.49484183638
349,252.036511401382,194.749481265433
80,1067.99570875859,1491.5210997493
1103,1098.79084067517,1138.53643725405
82,1470.47159617807,732.809902910474
95,143.965709639127,217.401412753967
1272,378.434687640002,521.042090667562
1266,933.10018176763,1293.90320047361
84,1023.41369289459,1872.37823646813
5001,738.036278536047,1819.90224863196
1423,1075.61261829857,707.227966472556
448,276.794318237713,587.913627907468
91,539.854789455833,1016.16642804464
81,1231.11074574364,743.299928497121
573,415.061419083673,211.308665272952
1257,6493.96898735177,2039.06069431477
1271,532.269522177225,543.738882737461
1274,869.089427680924,1926.36734364983
1439,1419.13835032838,1601.37560642066
1370,1832.88173037122,2596.37307976279
1261,1819.90224863196,1512.87192270795
543,1523.66167447039,345.01261383564
89,2500,2500
