"","V1","V2","V3","V4"
"1",0.565087260566951,321.218240352828,416.548085389224,-0.0824960509563328
"2",-0.707106781186548,-785.742518679805,-576.003739134023,-0.349890826221352
"3",-0.123046466409818,179.39031680182,147.825192329368,-0.0123322270484805
"4",-0.125287495118268,-340.812936598319,-462.369001264672,-0.0818529351715229
"5",-0.670546842892984,-898.284968371187,-1200.3690672942,-0.472779381183294
"6",-0.50123963865894,-689.385489420313,-339.212276723755,-0.679520511219269
"7",0.200051266063384,525.093264689724,379.250158996396,-0.150294437684985
"8",-0.707106781186548,-702.149455280053,30.8460619308651,-0.474948944424223
"9",-0.780052294348114,-1093.19013630917,-534.372212453739,-1.23241336637272
"10",0.415245274782755,132.505878742777,-970.090590835843,2.05160639791535
"11",-0.428501405062541,544.637191887237,-584.410493903375,2.01432841747579
"12",0.832239719563824,178.243794708707,-586.960022453295,2.49712034969137
"13",0.678947792659775,-255.308515650588,630.567423471996,-0.152349188821636
"14",0.408248290463863,1051.22991384472,941.11458336432,-0.0666882515878776
"15",0.707106781186548,-414.869127464496,-1630.05827413102,0.677873237518467
"16",-0.739917298135876,-297.487970213435,406.204793137492,-0.648596191791487
"17",-0.588045563192686,-918.910613006848,-817.727848059968,-0.153202441833374
"18",0.408248290463863,1153.54495741458,1287.71128989888,-0.198398840376768
"19",-0.707106781186548,16.3894782183438,304.981144472794,-0.393006184688492
